year,city,country,tashkent_temp,global_temp,Tashkent_10yMA,Global_10yMA
1832,Tashkent,Uzbekistan,9.48,7.45,,
1833,Tashkent,Uzbekistan,9.93,8.01,,
1834,Tashkent,Uzbekistan,9.95,8.15,,
1835,Tashkent,Uzbekistan,9.15,7.39,,
1836,Tashkent,Uzbekistan,9.65,7.7,,
1837,Tashkent,Uzbekistan,9.32,7.38,,
1838,Tashkent,Uzbekistan,9.02,7.51,,
1839,Tashkent,Uzbekistan,9.05,7.63,,
1840,Tashkent,Uzbekistan,9.63,7.8,,
1841,Tashkent,Uzbekistan,9.13,7.69,9.43,7.67
1842,Tashkent,Uzbekistan,10.1,8.02,9.49,7.73
1843,Tashkent,Uzbekistan,10.51,8.17,9.55,7.74
1844,Tashkent,Uzbekistan,9.38,7.65,9.49,7.69
1845,Tashkent,Uzbekistan,9.66,7.85,9.55,7.74
1846,Tashkent,Uzbekistan,10.33,8.55,9.61,7.83
1847,Tashkent,Uzbekistan,9.79,8.09,9.66,7.9
1848,Tashkent,Uzbekistan,9.25,7.98,9.68,7.94
1849,Tashkent,Uzbekistan,9.84,7.98,9.76,7.98
1850,Tashkent,Uzbekistan,9.59,7.9,9.76,7.99
1851,Tashkent,Uzbekistan,9.84,8.18,9.83,8.04
1852,Tashkent,Uzbekistan,9.84,8.1,9.8,8.05
1853,Tashkent,Uzbekistan,9.53,8.04,9.71,8.03
1854,Tashkent,Uzbekistan,10.16,8.21,9.78,8.09
1855,Tashkent,Uzbekistan,10.51,8.11,9.87,8.11
1856,Tashkent,Uzbekistan,10.05,8,9.84,8.06
1857,Tashkent,Uzbekistan,9.33,7.76,9.79,8.03
1858,Tashkent,Uzbekistan,9.99,8.1,9.87,8.04
1859,Tashkent,Uzbekistan,10.49,8.25,9.93,8.07
1860,Tashkent,Uzbekistan,9.24,7.96,9.9,8.07
1861,Tashkent,Uzbekistan,9.66,7.85,9.88,8.04
1862,Tashkent,Uzbekistan,9.14,7.56,9.81,7.98
1863,Tashkent,Uzbekistan,10.35,8.11,9.89,7.99
1864,Tashkent,Uzbekistan,9.45,7.98,9.82,7.97
1865,Tashkent,Uzbekistan,9.7,8.18,9.74,7.98
1866,Tashkent,Uzbekistan,9.82,8.29,9.72,8
1867,Tashkent,Uzbekistan,10.7,8.44,9.85,8.07
1868,Tashkent,Uzbekistan,9.88,8.25,9.84,8.09
1869,Tashkent,Uzbekistan,9.88,8.43,9.78,8.11
1870,Tashkent,Uzbekistan,10.14,8.2,9.87,8.13
1871,Tashkent,Uzbekistan,9.88,8.12,9.89,8.16
1872,Tashkent,Uzbekistan,10.23,8.19,10,8.22
1873,Tashkent,Uzbekistan,10.47,8.35,10.02,8.24
1874,Tashkent,Uzbekistan,10.42,8.43,10.11,8.29
1875,Tashkent,Uzbekistan,10.33,7.86,10.18,8.26
1876,Tashkent,Uzbekistan,9.69,8.08,10.16,8.24
1877,Tashkent,Uzbekistan,9.88,8.54,10.08,8.25
1878,Tashkent,Uzbekistan,10.26,8.83,10.12,8.3
1879,Tashkent,Uzbekistan,10.75,8.17,10.21,8.28
1880,Tashkent,Uzbekistan,10.6,8.12,10.25,8.27
1881,Tashkent,Uzbekistan,10.61,8.27,10.32,8.28
1882,Tashkent,Uzbekistan,9.37,8.13,10.24,8.28
1883,Tashkent,Uzbekistan,9.57,7.98,10.15,8.24
1884,Tashkent,Uzbekistan,9.35,7.77,10.04,8.18
1885,Tashkent,Uzbekistan,9.47,7.92,9.96,8.18
1886,Tashkent,Uzbekistan,8.41,7.95,9.83,8.17
1887,Tashkent,Uzbekistan,9.92,7.91,9.83,8.11
1888,Tashkent,Uzbekistan,11.38,8.09,9.94,8.03
1889,Tashkent,Uzbekistan,9.59,8.32,9.83,8.05
1890,Tashkent,Uzbekistan,9.7,7.97,9.74,8.03
1891,Tashkent,Uzbekistan,9.21,8.02,9.6,8.01
1892,Tashkent,Uzbekistan,10.13,8.07,9.67,8
1893,Tashkent,Uzbekistan,10.27,8.06,9.74,8.01
1894,Tashkent,Uzbekistan,9.68,8.16,9.78,8.05
1895,Tashkent,Uzbekistan,10.25,8.15,9.85,8.07
1896,Tashkent,Uzbekistan,10.31,8.21,10.04,8.1
1897,Tashkent,Uzbekistan,9.8,8.29,10.03,8.13
1898,Tashkent,Uzbekistan,8.67,8.18,9.76,8.14
1899,Tashkent,Uzbekistan,11.07,8.4,9.91,8.15
1900,Tashkent,Uzbekistan,9.53,8.5,9.89,8.2
1901,Tashkent,Uzbekistan,9.93,8.54,9.96,8.26
1902,Tashkent,Uzbekistan,10.49,8.3,10,8.28
1903,Tashkent,Uzbekistan,8.91,8.22,9.86,8.3
1904,Tashkent,Uzbekistan,9.85,8.09,9.88,8.29
1905,Tashkent,Uzbekistan,9.31,8.23,9.79,8.3
1906,Tashkent,Uzbekistan,10.06,8.38,9.76,8.31
1907,Tashkent,Uzbekistan,9.26,7.95,9.71,8.28
1908,Tashkent,Uzbekistan,9.83,8.19,9.82,8.28
1909,Tashkent,Uzbekistan,10.73,8.18,9.79,8.26
1910,Tashkent,Uzbekistan,10.02,8.22,9.84,8.23
1911,Tashkent,Uzbekistan,9.61,8.18,9.81,8.19
1912,Tashkent,Uzbekistan,10.47,8.17,9.81,8.18
1913,Tashkent,Uzbekistan,10.36,8.3,9.95,8.19
1914,Tashkent,Uzbekistan,11.08,8.59,10.07,8.24
1915,Tashkent,Uzbekistan,11.79,8.59,10.32,8.28
1916,Tashkent,Uzbekistan,9.94,8.23,10.31,8.26
1917,Tashkent,Uzbekistan,11.16,8.02,10.5,8.27
1918,Tashkent,Uzbekistan,9.94,8.13,10.51,8.26
1919,Tashkent,Uzbekistan,9.95,8.38,10.43,8.28
1920,Tashkent,Uzbekistan,8.65,8.36,10.3,8.3
1921,Tashkent,Uzbekistan,9.48,8.57,10.28,8.33
1922,Tashkent,Uzbekistan,11.13,8.41,10.35,8.36
1923,Tashkent,Uzbekistan,10.02,8.42,10.31,8.37
1924,Tashkent,Uzbekistan,10.31,8.51,10.24,8.36
1925,Tashkent,Uzbekistan,10.79,8.53,10.14,8.36
1926,Tashkent,Uzbekistan,10.45,8.73,10.19,8.41
1927,Tashkent,Uzbekistan,10.39,8.52,10.11,8.46
1928,Tashkent,Uzbekistan,9.47,8.63,10.06,8.51
1929,Tashkent,Uzbekistan,9.07,8.24,9.98,8.49
1930,Tashkent,Uzbekistan,9.24,8.63,10.04,8.52
1931,Tashkent,Uzbekistan,9.39,8.72,10.03,8.53
1932,Tashkent,Uzbekistan,9.72,8.71,9.89,8.56
1933,Tashkent,Uzbekistan,10.07,8.34,9.89,8.56
1934,Tashkent,Uzbekistan,8.92,8.63,9.75,8.57
1935,Tashkent,Uzbekistan,9.44,8.52,9.62,8.57
1936,Tashkent,Uzbekistan,10.24,8.55,9.6,8.55
1937,Tashkent,Uzbekistan,9.58,8.7,9.51,8.57
1938,Tashkent,Uzbekistan,10.75,8.86,9.64,8.59
1939,Tashkent,Uzbekistan,10.99,8.76,9.83,8.64
1940,Tashkent,Uzbekistan,11.55,8.76,10.07,8.66
1941,Tashkent,Uzbekistan,11.92,8.77,10.32,8.66
1942,Tashkent,Uzbekistan,10.75,8.73,10.42,8.66
1943,Tashkent,Uzbekistan,9.91,8.76,10.41,8.7
1944,Tashkent,Uzbekistan,11.21,8.85,10.63,8.73
1945,Tashkent,Uzbekistan,9.85,8.58,10.68,8.73
1946,Tashkent,Uzbekistan,10.67,8.68,10.72,8.75
1947,Tashkent,Uzbekistan,11.32,8.8,10.89,8.76
1948,Tashkent,Uzbekistan,10.55,8.75,10.87,8.74
1949,Tashkent,Uzbekistan,9.25,8.59,10.7,8.73
1950,Tashkent,Uzbekistan,9.44,8.37,10.49,8.69
1951,Tashkent,Uzbekistan,9.9,8.63,10.29,8.67
1952,Tashkent,Uzbekistan,10.5,8.64,10.26,8.67
